Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
NEK_END	341	339	103	236	0	2	2	0	0	282	2378619	471	27	291	939	258163	35891	30454	5437	130050
NEK_START	319	316	96	218	2	3	3	0	0	271	1802798	523	26	350	933	259546	34716	29530	5186	126468
NEK_clone_2	262	256	75	181	0	6	3	3	0	216	2607917	496	32	451	903	249669	35911	30393	5518	133883
NEK_clone_3	270	265	88	177	0	5	4	1	0	213	2332715	435	26	363	876	245918	36420	30760	5660	136512
NEK_clone_4	286	282	85	197	0	4	2	2	0	237	2954030	496	22	559	917	250183	36180	30559	5621	135930
NEK_clone_5	252	250	85	165	0	2	2	0	0	209	2654193	496	24	571	916	250179	35967	30474	5493	135529
